orig_index,id,path,label,status,reason,width,height
109,000110.jpg,/data/meteorite-identification/train_images/000110.jpg,1,keep,,1080,1440
110,000111.jpg,/data/meteorite-identification/train_images/000111.jpg,1,keep,,1080,1440
111,000112.jpg,/data/meteorite-identification/train_images/000112.jpg,0,keep,,1920,1280
112,000113.jpg,/data/meteorite-identification/train_images/000113.jpg,0,keep,,1920,1272
113,000114.jpg,/data/meteorite-identification/train_images/000114.jpg,0,keep,,1920,1272
114,000115.jpg,/data/meteorite-identification/train_images/000115.jpg,1,keep,,640,427
115,000116.jpg,/data/meteorite-identification/train_images/000116.jpg,0,keep,,289,174
116,000117.jpg,/data/meteorite-identification/train_images/000117.jpg,1,keep,,640,480
117,000118.jpg,/data/meteorite-identification/train_images/000118.jpg,1,keep,,1080,1440
118,000119.jpg,/data/meteorite-identification/train_images/000119.jpg,0,keep,,474,193
119,000120.jpg,/data/meteorite-identification/train_images/000120.jpg,0,keep,,225,225
120,000121.jpg,/data/meteorite-identification/train_images/000121.jpg,0,keep,,700,437
121,000122.jpg,/data/meteorite-identification/train_images/000122.jpg,0,keep,,1920,1808
122,000123.jpg,/data/meteorite-identification/train_images/000123.jpg,0,keep,,612,408
123,000124.jpg,/data/meteorite-identification/train_images/000124.jpg,0,keep,,1920,1240
124,000125.jpg,/data/meteorite-identification/train_images/000125.jpg,1,keep,,800,600
125,000126.jpg,/data/meteorite-identification/train_images/000126.jpg,0,keep,,1920,1272
126,000127.jpg,/data/meteorite-identification/train_images/000127.jpg,1,keep,,450,425
127,000128.jpg,/data/meteorite-identification/train_images/000128.jpg,1,keep,,267,234
128,000129.jpg,/data/meteorite-identification/train_images/000129.jpg,1,keep,,360,252
129,000130.jpg,/data/meteorite-identification/train_images/000130.jpg,0,keep,,1024,680
130,000131.jpg,/data/meteorite-identification/train_images/000131.jpg,0,keep,,1024,680
131,000132.jpg,/data/meteorite-identification/train_images/000132.jpg,0,keep,,1920,1272
132,000133.jpg,/data/meteorite-identification/train_images/000133.jpg,0,keep,,1920,1280
133,000134.jpg,/data/meteorite-identification/train_images/000134.jpg,1,keep,,800,800
134,000135.jpg,/data/meteorite-identification/train_images/000135.jpg,1,keep,,600,767
135,000136.jpg,/data/meteorite-identification/train_images/000136.jpg,1,keep,,773,448
136,000137.jpg,/data/meteorite-identification/train_images/000137.jpg,1,keep,,800,800
137,000138.jpg,/data/meteorite-identification/train_images/000138.jpg,0,keep,,1920,1280
138,000139.jpg,/data/meteorite-identification/train_images/000139.jpg,1,keep,,640,480
139,000140.jpg,/data/meteorite-identification/train_images/000140.jpg,1,keep,,800,800
140,000141.jpg,/data/meteorite-identification/train_images/000141.jpg,0,keep,,612,408
141,000142.jpg,/data/meteorite-identification/train_images/000142.jpg,0,keep,,1920,1272
142,000143.jpg,/data/meteorite-identification/train_images/000143.jpg,1,keep,,800,544
143,000144.jpg,/data/meteorite-identification/train_images/000144.jpg,0,keep,,1920,1280
144,000145.jpg,/data/meteorite-identification/train_images/000145.jpg,0,keep,,500,500
145,000146.jpg,/data/meteorite-identification/train_images/000146.jpg,1,keep,,800,600
146,000147.jpg,/data/meteorite-identification/train_images/000147.jpg,0,keep,,1920,1272
147,000148.jpg,/data/meteorite-identification/train_images/000148.jpg,0,keep,,500,500
148,000149.jpg,/data/meteorite-identification/train_images/000149.jpg,0,keep,,155,118
149,000150.jpg,/data/meteorite-identification/train_images/000150.jpg,1,keep,,800,600
150,000151.jpg,/data/meteorite-identification/train_images/000151.jpg,0,keep,,201,251
151,000152.jpg,/data/meteorite-identification/train_images/000152.jpg,0,keep,,700,649
152,000153.jpg,/data/meteorite-identification/train_images/000153.jpg,1,keep,,210,158
153,000154.jpg,/data/meteorite-identification/train_images/000154.jpg,0,keep,,225,224
154,000155.jpg,/data/meteorite-identification/train_images/000155.jpg,1,keep,,1440,1080
155,000156.jpg,/data/meteorite-identification/train_images/000156.jpg,1,keep,,800,600
156,000157.jpg,/data/meteorite-identification/train_images/000157.jpg,1,keep,,800,800
157,000158.jpg,/data/meteorite-identification/train_images/000158.jpg,0,keep,,800,486
158,000159.jpg,/data/meteorite-identification/train_images/000159.jpg,0,keep,,720,556
159,000160.jpg,/data/meteorite-identification/train_images/000160.jpg,0,keep,,1024,680
160,000161.jpg,/data/meteorite-identification/train_images/000161.jpg,0,keep,,1084,736
161,000162.jpg,/data/meteorite-identification/train_images/000162.jpg,1,keep,,800,800
162,000163.jpg,/data/meteorite-identification/train_images/000163.jpg,0,keep,,1920,1272
163,000164.jpg,/data/meteorite-identification/train_images/000164.jpg,0,keep,,700,481
164,000165.jpg,/data/meteorite-identification/train_images/000165.jpg,0,keep,,800,533
165,000166.jpg,/data/meteorite-identification/train_images/000166.jpg,1,keep,,640,499
166,000167.jpg,/data/meteorite-identification/train_images/000167.jpg,0,keep,,1920,1272
167,000168.jpg,/data/meteorite-identification/train_images/000168.jpg,1,keep,,800,600
168,000169.jpg,/data/meteorite-identification/train_images/000169.jpg,1,keep,,1200,1200
169,000170.jpg,/data/meteorite-identification/train_images/000170.jpg,0,keep,,227,222
170,000171.jpg,/data/meteorite-identification/train_images/000171.jpg,1,keep,,3264,2448
171,000172.jpg,/data/meteorite-identification/train_images/000172.jpg,1,keep,,365,275
172,000173.jpg,/data/meteorite-identification/train_images/000173.jpg,0,keep,,1920,1272
173,000174.jpg,/data/meteorite-identification/train_images/000174.jpg,0,keep,,408,612
174,000175.jpg,/data/meteorite-identification/train_images/000175.jpg,0,keep,,1920,1272
175,000176.jpg,/data/meteorite-identification/train_images/000176.jpg,1,keep,,800,800
176,000177.jpg,/data/meteorite-identification/train_images/000177.jpg,1,keep,,1080,1440
177,000178.jpg,/data/meteorite-identification/train_images/000178.jpg,0,keep,,239,135
178,000179.jpg,/data/meteorite-identification/train_images/000179.jpg,1,keep,,739,519
179,000180.jpg,/data/meteorite-identification/train_images/000180.jpg,0,keep,,1920,1440
180,000181.jpg,/data/meteorite-identification/train_images/000181.jpg,1,keep,,750,542
181,000182.jpg,/data/meteorite-identification/train_images/000182.jpg,0,keep,,380,285
182,000183.jpg,/data/meteorite-identification/train_images/000183.jpg,0,keep,,1024,680
183,000184.jpg,/data/meteorite-identification/train_images/000184.jpg,0,keep,,1024,680
184,000185.jpg,/data/meteorite-identification/train_images/000185.jpg,1,keep,,640,480
185,000186.jpg,/data/meteorite-identification/train_images/000186.jpg,1,keep,,400,300
186,000187.jpg,/data/meteorite-identification/train_images/000187.jpg,1,keep,,1080,1440
187,000188.jpg,/data/meteorite-identification/train_images/000188.jpg,1,keep,,538,512
188,000189.jpg,/data/meteorite-identification/train_images/000189.jpg,0,keep,,474,316
189,000190.jpg,/data/meteorite-identification/train_images/000190.jpg,0,keep,,1054,700
190,000191.jpg,/data/meteorite-identification/train_images/000191.jpg,0,keep,,800,717
191,000192.jpg,/data/meteorite-identification/train_images/000192.jpg,1,keep,,320,240
192,000193.jpg,/data/meteorite-identification/train_images/000193.jpg,0,keep,,300,168
193,000194.jpg,/data/meteorite-identification/train_images/000194.jpg,1,keep,,800,600
194,000195.jpg,/data/meteorite-identification/train_images/000195.jpg,0,keep,,1024,680
195,000196.jpg,/data/meteorite-identification/train_images/000196.jpg,1,keep,,1080,1440
196,000197.jpg,/data/meteorite-identification/train_images/000197.jpg,0,keep,,1920,1280
197,000198.jpg,/data/meteorite-identification/train_images/000198.jpg,0,keep,,1024,680
198,000199.jpg,/data/meteorite-identification/train_images/000199.jpg,1,keep,,800,660
199,000200.jpg,/data/meteorite-identification/train_images/000200.jpg,0,keep,,236,214
200,000201.jpg,/data/meteorite-identification/train_images/000201.jpg,1,keep,,800,550
201,000202.jpg,/data/meteorite-identification/train_images/000202.jpg,1,keep,,780,791
202,000203.jpg,/data/meteorite-identification/train_images/000203.jpg,0,keep,,1024,680
203,000204.jpg,/data/meteorite-identification/train_images/000204.jpg,1,keep,,1200,1200
204,000205.jpg,/data/meteorite-identification/train_images/000205.jpg,0,keep,,1920,1272
205,000206.jpg,/data/meteorite-identification/train_images/000206.jpg,1,keep,,2400,1800
206,000207.jpg,/data/meteorite-identification/train_images/000207.jpg,0,keep,,283,210
207,000208.jpg,/data/meteorite-identification/train_images/000208.jpg,0,keep,,1920,1272
208,000209.jpeg,/data/meteorite-identification/train_images/000209.jpeg,0,keep,,225,225
209,000210.jpeg,/data/meteorite-identification/train_images/000210.jpeg,0,keep,,243,207
210,000211.jpg,/data/meteorite-identification/train_images/000211.jpg,0,keep,,1024,768
211,000212.jpg,/data/meteorite-identification/train_images/000212.jpg,0,keep,,1920,1272
212,000213.jpg,/data/meteorite-identification/train_images/000213.jpg,0,keep,,1061,700
213,000214.jpg,/data/meteorite-identification/train_images/000214.jpg,1,keep,,2448,3264
214,000215.jpg,/data/meteorite-identification/train_images/000215.jpg,1,keep,,1080,1440
215,000216.jpg,/data/meteorite-identification/train_images/000216.jpg,1,keep,,719,1280
216,000217.jpg,/data/meteorite-identification/train_images/000217.jpg,1,keep,,640,480
217,000218.jpg,/data/meteorite-identification/train_images/000218.jpg,0,keep,,1920,1272
218,000219.jpg,/data/meteorite-identification/train_images/000219.jpg,1,keep,,800,800
219,000220.jpg,/data/meteorite-identification/train_images/000220.jpg,1,keep,,1080,1440
220,000221.jpg,/data/meteorite-identification/train_images/000221.jpg,0,keep,,1920,1440
221,000222.jpg,/data/meteorite-identification/train_images/000222.jpg,1,keep,,600,800
222,000223.jpg,/data/meteorite-identification/train_images/000223.jpg,1,keep,,3264,2448
223,000224.jpg,/data/meteorite-identification/train_images/000224.jpg,1,keep,,765,573
224,000225.jpg,/data/meteorite-identification/train_images/000225.jpg,1,keep,,640,480
225,000226.jpg,/data/meteorite-identification/train_images/000226.jpg,1,keep,,3264,2448
226,000227.jpg,/data/meteorite-identification/train_images/000227.jpg,1,keep,,643,778
227,000228.jpg,/data/meteorite-identification/train_images/000228.jpg,0,keep,,1920,1272
228,000229.jpg,/data/meteorite-identification/train_images/000229.jpg,1,drop,too_large(>4096),4896,3672
229,000230.jpg,/data/meteorite-identification/train_images/000230.jpg,0,keep,,1024,672
230,000231.jpg,/data/meteorite-identification/train_images/000231.jpg,0,keep,,266,190
231,000232.jpg,/data/meteorite-identification/train_images/000232.jpg,1,keep,,1440,1080
232,000233.jpg,/data/meteorite-identification/train_images/000233.jpg,1,keep,,640,480
233,000234.jpg,/data/meteorite-identification/train_images/000234.jpg,0,keep,,1920,1280
234,000235.jpg,/data/meteorite-identification/train_images/000235.jpg,1,keep,,1080,1920
235,000236.jpg,/data/meteorite-identification/train_images/000236.jpg,1,keep,,512,384
236,000237.jpg,/data/meteorite-identification/train_images/000237.jpg,1,keep,,800,800
237,000238.jpg,/data/meteorite-identification/train_images/000238.jpg,0,keep,,1920,1272
238,000239.jpg,/data/meteorite-identification/train_images/000239.jpg,1,keep,,800,800
239,000240.jpg,/data/meteorite-identification/train_images/000240.jpg,0,keep,,1920,1272
240,000241.jpg,/data/meteorite-identification/train_images/000241.jpg,1,keep,,640,480
241,000242.jpg,/data/meteorite-identification/train_images/000242.jpg,1,keep,,1280,960
242,000243.jpg,/data/meteorite-identification/train_images/000243.jpg,1,keep,,640,480
243,000244.jpg,/data/meteorite-identification/train_images/000244.jpg,1,keep,,640,480
244,000245.jpg,/data/meteorite-identification/train_images/000245.jpg,0,keep,,612,409
245,000246.jpg,/data/meteorite-identification/train_images/000246.jpg,0,keep,,1300,866
246,000247.jpg,/data/meteorite-identification/train_images/000247.jpg,0,keep,,1920,1272
247,000248.jpg,/data/meteorite-identification/train_images/000248.jpg,0,keep,,1920,1272
248,000249.jpg,/data/meteorite-identification/train_images/000249.jpg,0,keep,,1024,768
249,000250.jpg,/data/meteorite-identification/train_images/000250.jpg,1,keep,,1080,1440
250,000251.jpg,/data/meteorite-identification/train_images/000251.jpg,1,keep,,1080,1440
251,000252.jpg,/data/meteorite-identification/train_images/000252.jpg,0,keep,,1920,1272
252,000253.jpg,/data/meteorite-identification/train_images/000253.jpg,1,keep,,800,800
253,000254.jpg,/data/meteorite-identification/train_images/000254.jpg,1,keep,,600,450
254,000255.jpg,/data/meteorite-identification/train_images/000255.jpg,1,keep,,2460,1845
255,000256.jpg,/data/meteorite-identification/train_images/000256.jpg,1,keep,,800,595
256,000257.jpg,/data/meteorite-identification/train_images/000257.jpg,0,keep,,272,201
257,000258.jpg,/data/meteorite-identification/train_images/000258.jpg,0,keep,,1920,1272
258,000259.jpg,/data/meteorite-identification/train_images/000259.jpg,0,keep,,1920,1272
259,000260.jpg,/data/meteorite-identification/train_images/000260.jpg,1,keep,,500,300
260,000261.jpg,/data/meteorite-identification/train_images/000261.jpg,1,keep,,709,522
261,000262.jpg,/data/meteorite-identification/train_images/000262.jpg,1,keep,,1080,1440
262,000263.jpg,/data/meteorite-identification/train_images/000263.jpg,0,keep,,1920,1272
263,000264.jpg,/data/meteorite-identification/train_images/000264.jpg,0,keep,,1024,576
264,000265.jpg,/data/meteorite-identification/train_images/000265.jpg,1,keep,,400,300
265,000266.jpg,/data/meteorite-identification/train_images/000266.jpg,0,keep,,1920,1408
266,000267.jpg,/data/meteorite-identification/train_images/000267.jpg,1,keep,,450,342
267,000268.jpg,/data/meteorite-identification/train_images/000268.jpg,0,keep,,474,662
268,000269.jpg,/data/meteorite-identification/train_images/000269.jpg,0,keep,,3024,3024
269,000270.jpg,/data/meteorite-identification/train_images/000270.jpg,1,keep,,640,427
270,000271.jpg,/data/meteorite-identification/train_images/000271.jpg,1,keep,,3264,2448
271,000272.jpg,/data/meteorite-identification/train_images/000272.jpg,1,keep,,1440,1080
272,000273.jpg,/data/meteorite-identification/train_images/000273.jpg,0,keep,,1024,768
273,000274.jpg,/data/meteorite-identification/train_images/000274.jpg,0,keep,,1920,1272
274,000275.jpg,/data/meteorite-identification/train_images/000275.jpg,1,keep,,400,302
275,000276.jpg,/data/meteorite-identification/train_images/000276.jpg,1,keep,,1200,1200
276,000277.jpg,/data/meteorite-identification/train_images/000277.jpg,1,keep,,640,480
277,000278.jpg,/data/meteorite-identification/train_images/000278.jpg,1,keep,,800,800
278,000279.jpg,/data/meteorite-identification/train_images/000279.jpg,1,keep,,784,614
279,000280.jpg,/data/meteorite-identification/train_images/000280.jpg,0,keep,,347,263
280,000281.jpg,/data/meteorite-identification/train_images/000281.jpg,1,keep,,640,427
281,000282.jpg,/data/meteorite-identification/train_images/000282.jpg,0,keep,,1920,1272
282,000283.jpg,/data/meteorite-identification/train_images/000283.jpg,0,keep,,249,207
283,000284.jpg,/data/meteorite-identification/train_images/000284.jpg,0,keep,,1024,680
284,000285.jpg,/data/meteorite-identification/train_images/000285.jpg,1,keep,,400,300
285,000286.jpeg,/data/meteorite-identification/train_images/000286.jpeg,0,keep,,2613,1960
286,000287.jpg,/data/meteorite-identification/train_images/000287.jpg,1,drop,too_large(>4096),4896,3672
287,000288.jpg,/data/meteorite-identification/train_images/000288.jpg,1,keep,,640,427
288,000289.jpg,/data/meteorite-identification/train_images/000289.jpg,0,keep,,474,315
289,000290.jpg,/data/meteorite-identification/train_images/000290.jpg,0,keep,,275,217
290,000291.jpg,/data/meteorite-identification/train_images/000291.jpg,0,keep,,1920,1280
291,000292.jpg,/data/meteorite-identification/train_images/000292.jpg,0,keep,,235,184
292,000293.jpg,/data/meteorite-identification/train_images/000293.jpg,1,keep,,600,450
293,000294.jpg,/data/meteorite-identification/train_images/000294.jpg,1,keep,,511,601
294,000295.jpg,/data/meteorite-identification/train_images/000295.jpg,1,keep,,1080,1440
295,000296.jpg,/data/meteorite-identification/train_images/000296.jpg,0,keep,,1920,1592
296,000297.jpg,/data/meteorite-identification/train_images/000297.jpg,1,keep,,800,577
297,000298.jpg,/data/meteorite-identification/train_images/000298.jpg,0,keep,,306,164
298,000299.jpg,/data/meteorite-identification/train_images/000299.jpg,0,keep,,474,474
299,000300.jpg,/data/meteorite-identification/train_images/000300.jpg,0,keep,,1920,1272
300,000301.jpg,/data/meteorite-identification/train_images/000301.jpg,0,keep,,1024,680
301,000302.jpg,/data/meteorite-identification/train_images/000302.jpg,0,keep,,1920,1272
302,000303.jpg,/data/meteorite-identification/train_images/000303.jpg,1,keep,,553,499
303,000304.jpg,/data/meteorite-identification/train_images/000304.jpg,0,keep,,3024,3024
304,000305.jpg,/data/meteorite-identification/train_images/000305.jpg,1,keep,,800,614
305,000306.jpg,/data/meteorite-identification/train_images/000306.jpg,0,keep,,289,157
306,000307.jpg,/data/meteorite-identification/train_images/000307.jpg,1,keep,,425,302
307,000308.jpg,/data/meteorite-identification/train_images/000308.jpg,0,keep,,1920,1272
308,000309.jpg,/data/meteorite-identification/train_images/000309.jpg,0,keep,,1920,1272
309,000310.jpg,/data/meteorite-identification/train_images/000310.jpg,1,keep,,1080,1440
310,000311.jpg,/data/meteorite-identification/train_images/000311.jpg,0,keep,,319,209
311,000312.jpg,/data/meteorite-identification/train_images/000312.jpg,1,keep,,800,600
312,000313.jpg,/data/meteorite-identification/train_images/000313.jpg,0,keep,,267,218
313,000314.jpg,/data/meteorite-identification/train_images/000314.jpg,0,keep,,1500,1092
314,000315.jpg,/data/meteorite-identification/train_images/000315.jpg,0,keep,,474,419
315,000316.jpg,/data/meteorite-identification/train_images/000316.jpg,0,keep,,149,130
316,000317.jpg,/data/meteorite-identification/train_images/000317.jpg,1,keep,,542,482
317,000318.jpg,/data/meteorite-identification/train_images/000318.jpg,0,keep,,1920,1272
318,000319.jpg,/data/meteorite-identification/train_images/000319.jpg,0,keep,,1920,1280
319,000320.jpg,/data/meteorite-identification/train_images/000320.jpg,0,keep,,3024,3024
320,000321.jpg,/data/meteorite-identification/train_images/000321.jpg,0,keep,,800,600
321,000322.jpg,/data/meteorite-identification/train_images/000322.jpg,1,keep,,789,464
322,000323.jpg,/data/meteorite-identification/train_images/000323.jpg,1,keep,,267,246
323,000324.jpg,/data/meteorite-identification/train_images/000324.jpg,1,keep,,560,396
324,000325.jpg,/data/meteorite-identification/train_images/000325.jpg,0,keep,,229,220
325,000326.jpg,/data/meteorite-identification/train_images/000326.jpg,1,keep,,400,300
326,000327.jpg,/data/meteorite-identification/train_images/000327.jpg,0,keep,,1920,1272
327,000328.jpg,/data/meteorite-identification/train_images/000328.jpg,1,keep,,495,512
328,000329.jpg,/data/meteorite-identification/train_images/000329.jpg,1,keep,,800,800
329,000330.jpg,/data/meteorite-identification/train_images/000330.jpg,0,keep,,1024,768
330,000331.jpg,/data/meteorite-identification/train_images/000331.jpg,0,keep,,474,355
331,000332.jpg,/data/meteorite-identification/train_images/000332.jpg,1,keep,,800,800
